metric,sampler,frac,theta1,theta2,sign,p_misrank,n_valid,pair_id,seed1,seed2
modularity,edge_uniform,0.2,0.3889678655196776,0.663583375,-1.0,0.0,150.0,2,204,305
clustering,edge_uniform,0.3,0.016854585609671045,0.4905644829007004,-1.0,0.0,150.0,2,204,305
assortativity,edge_uniform,0.3,-0.07749951482827531,-0.020658630939912073,-1.0,0.0,150.0,2,204,305
avg_path,edge_uniform,0.3,3.4857102628285355,4.303620150187735,-1.0,0.0,150.0,2,204,305
modularity,edge_uniform,0.3,0.3889678655196776,0.663583375,-1.0,0.0,150.0,2,204,305
clustering,random_node,0.05,0.01901045395961621,0.48339513803049033,-1.0,0.5533333333333333,150.0,3,206,307
assortativity,random_node,0.05,-0.06990441797355568,-0.025074587808218928,-1.0,0.18181818181818182,110.0,3,206,307
avg_path,random_node,0.05,3.461836670838548,4.259627659574468,-1.0,0.6148648648648649,148.0,3,206,307
modularity,random_node,0.05,0.38821736887649055,0.6623826249999999,-1.0,0.12837837837837837,148.0,3,206,307
clustering,random_node,0.1,0.01901045395961621,0.48339513803049033,-1.0,0.013333333333333334,150.0,3,206,307
assortativity,random_node,0.1,-0.06990441797355568,-0.025074587808218928,-1.0,0.02,150.0,3,206,307
avg_path,random_node,0.1,3.461836670838548,4.259627659574468,-1.0,0.6,150.0,3,206,307
modularity,random_node,0.1,0.38821736887649055,0.6623826249999999,-1.0,0.07333333333333333,150.0,3,206,307
clustering,random_node,0.2,0.01901045395961621,0.48339513803049033,-1.0,0.0,150.0,3,206,307
assortativity,random_node,0.2,-0.06990441797355568,-0.025074587808218928,-1.0,0.0,150.0,3,206,307
avg_path,random_node,0.2,3.461836670838548,4.259627659574468,-1.0,0.4266666666666667,150.0,3,206,307
modularity,random_node,0.2,0.38821736887649055,0.6623826249999999,-1.0,0.006666666666666667,150.0,3,206,307
clustering,random_node,0.3,0.01901045395961621,0.48339513803049033,-1.0,0.0,150.0,3,206,307
assortativity,random_node,0.3,-0.06990441797355568,-0.025074587808218928,-1.0,0.0,150.0,3,206,307
avg_path,random_node,0.3,3.461836670838548,4.259627659574468,-1.0,0.0,150.0,3,206,307
modularity,random_node,0.3,0.38821736887649055,0.6623826249999999,-1.0,0.0,150.0,3,206,307
clustering,snowball,0.05,0.01901045395961621,0.48339513803049033,-1.0,0.0,150.0,3,206,307
assortativity,snowball,0.05,-0.06990441797355568,-0.025074587808218928,-1.0,0.02,150.0,3,206,307
avg_path,snowball,0.05,3.461836670838548,4.259627659574468,-1.0,0.92,150.0,3,206,307
modularity,snowball,0.05,0.38821736887649055,0.6623826249999999,-1.0,0.02,150.0,3,206,307
clustering,snowball,0.1,0.01901045395961621,0.48339513803049033,-1.0,0.0,150.0,3,206,307
assortativity,snowball,0.1,-0.06990441797355568,-0.025074587808218928,-1.0,0.0,150.0,3,206,307
avg_path,snowball,0.1,3.461836670838548,4.259627659574468,-1.0,0.14,150.0,3,206,307
modularity,snowball,0.1,0.38821736887649055,0.6623826249999999,-1.0,0.0,150.0,3,206,307
