metric,sampler,frac,theta,mean_sampled,bias_rel,var_rel,nd,graph_id,graph_seed
assortativity,snowball,0.05,-0.08039590826784798,-0.43045030460022443,-4.354077835507622,1.7658589084872442,4.698537164090809,1,101
avg_path,snowball,0.05,3.4210012515644554,3.3442593217709584,-0.02243258675389712,0.17026377336005905,0.17173518412741365,1,101
modularity,snowball,0.05,0.39033556934279373,0.5066223750193132,0.2979141971563426,0.22301423647789623,0.37214005231784336,1,101
clustering,snowball,0.1,0.022984676882078614,0.07469302065123698,2.2495897786448973,1.0906735523241335,2.5000445935868707,1,101
assortativity,snowball,0.1,-0.08039590826784798,-0.35351013049821167,-3.397073694929466,0.9408216961617032,3.524947539006832,1,101
avg_path,snowball,0.1,3.4210012515644554,2.9978234093187113,-0.12369996016583183,0.09386933022859294,0.15528403428103293,1,101
modularity,snowball,0.1,0.39033556934279373,0.4601455832925352,0.17884569223754765,0.12493423119534831,0.2181612792323614,1,101
clustering,snowball,0.2,0.022984676882078614,0.05438201538010319,1.3659523127858955,0.2881910457917508,1.3960228507011194,1,101
assortativity,snowball,0.2,-0.08039590826784798,-0.3016492982123169,-2.7520136621093387,0.5484764649072884,2.8061371365265897,1,101
avg_path,snowball,0.2,3.4210012515644554,3.0427515723270444,-0.11056691911396259,0.059045631612204844,0.12534524408543687,1,101
modularity,snowball,0.2,0.39033556934279373,0.4513077605969997,0.15620414801734897,0.06264059973020941,0.1682961098551781,1,101
clustering,snowball,0.3,0.022984676882078614,0.045278679254996554,0.9699084559176085,0.1169272564256185,0.9769311112640963,1,101
assortativity,snowball,0.3,-0.08039590826784798,-0.2621292761422176,-2.260452196357005,0.4573913629451244,2.3062634261749038,1,101
avg_path,snowball,0.3,3.4210012515644554,3.063356345885635,-0.1045438966066936,0.035224189532965466,0.11031849276510858,1,101
modularity,snowball,0.3,0.39033556934279373,0.43977905982672477,0.12666886571037558,0.038085631511913,0.13227061982169125,1,101
clustering,degree_weighted,0.05,0.022984676882078614,0.09473130286297927,3.121362331376014,3.3527894567930594,4.580840528256338,1,101
assortativity,degree_weighted,0.05,-0.08039590826784798,-0.18765719457323615,-1.3341469046053316,2.2474164109819954,2.6135853702183103,1,101
avg_path,degree_weighted,0.05,3.4210012515644554,2.7948619522917353,-0.18302802898956905,0.10761900374626457,0.21232312489021313,1,101
modularity,degree_weighted,0.05,0.39033556934279373,0.5529192052703926,0.4165216602721583,0.25305206696495663,0.48736602474024815,1,101
clustering,degree_weighted,0.1,0.022984676882078614,0.09083757375673059,2.9519642698690878,1.6053893527260958,3.3602630885735794,1,101
assortativity,degree_weighted,0.1,-0.08039590826784798,-0.13959309445346071,-0.7363117246796745,0.9247477728531422,1.1820801154311003,1,101
avg_path,degree_weighted,0.1,3.4210012515644554,3.431729733958029,0.003136064113569977,0.1071861940172253,0.10723206183797217,1,101
modularity,degree_weighted,0.1,0.39033556934279373,0.5463952310900256,0.3998079452560343,0.16072125024020853,0.4309033689455536,1,101
clustering,degree_weighted,0.2,0.022984676882078614,0.07137768098590377,2.105354754271171,0.49794143263073704,2.1634380766877923,1,101
assortativity,degree_weighted,0.2,-0.08039590826784798,-0.08678987893080857,-0.07953005657454666,0.5200517354116102,0.5260977451038714,1,101
avg_path,degree_weighted,0.2,3.4210012515644554,3.5410439407969245,0.03508991821843217,0.050784810866798064,0.06172843247120981,1,101
modularity,degree_weighted,0.2,0.39033556934279373,0.5099066439678799,0.306328138371475,0.07058063092813818,0.3143541853075088,1,101
clustering,degree_weighted,0.3,0.022984676882078614,0.05626814059634208,1.4480088572120229,0.20880310179212141,1.4629861195112137,1,101
assortativity,degree_weighted,0.3,-0.08039590826784798,-0.07436969117624635,0.07495583128053707,0.27968103033201697,0.2895511273860541,1,101
avg_path,degree_weighted,0.3,3.4210012515644554,3.5084125467400433,0.025551370255782174,0.02505664107731409,0.03578697785543526,1,101
modularity,degree_weighted,0.3,0.39033556934279373,0.47719209328590073,0.222517003952119,0.04234210661613945,0.22650975926109645,1,101
clustering,edge_uniform,0.05,0.022984676882078614,0.07976263228038188,2.4701450250774077,2.525042104480167,3.532343991503701,1,101
assortativity,edge_uniform,0.05,-0.08039590826784798,0.11522846479475987,2.4332325368889984,1.4643444477083665,2.8398812017599595,1,101
avg_path,edge_uniform,0.05,3.4210012515644554,3.532007803093561,0.03244854676092111,0.14800746351383362,0.15152266313226703,1,101
modularity,edge_uniform,0.05,0.39033556934279373,0.6439042312984441,0.6496154392671476,0.2394888904133578,0.6923547844607347,1,101
clustering,edge_uniform,0.1,0.022984676882078614,0.0847678464173487,2.6878986358431307,1.3369067396985057,3.0020191050722262,1,101
assortativity,edge_uniform,0.1,-0.08039590826784798,0.055403941089433306,1.6891178066805068,0.8370037180683613,1.8851244491824477,1,101
avg_path,edge_uniform,0.1,3.4210012515644554,3.789670471536061,0.10776643593350742,0.10725295403175429,0.15204210226890563,1,101
modularity,edge_uniform,0.1,0.39033556934279373,0.5600944650435933,0.43490389841418425,0.14270225811064116,0.4577175278768895,1,101
clustering,edge_uniform,0.2,0.022984676882078614,0.06941773908577488,2.020086788912404,0.4819228214767543,2.0767764060193246,1,101
assortativity,edge_uniform,0.2,-0.08039590826784798,-0.0018706322676825457,0.9767200964812345,0.3738051135813923,1.0458070614649289,1,101
avg_path,edge_uniform,0.2,3.4210012515644554,3.6236788972125527,0.05924510735279723,0.046882054856627046,0.07555071020727903,1,101
modularity,edge_uniform,0.2,0.39033556934279373,0.49883865888503,0.27797315973986747,0.06616473880569444,0.2857391296217437,1,101
clustering,edge_uniform,0.3,0.022984676882078614,0.05505446588963374,1.3952075099671821,0.2056409015655544,1.4102808855917741,1,101
assortativity,edge_uniform,0.3,-0.08039590826784798,-0.029372093304329217,0.6346489692555007,0.26668349741096914,0.6884035168187448,1,101
avg_path,edge_uniform,0.3,3.4210012515644554,3.5089224701145754,0.02570042697572407,0.023035719328012693,0.03451313245264045,1,101
modularity,edge_uniform,0.3,0.39033556934279373,0.46358361759960515,0.18765356364159913,0.040766909639384855,0.19203072897048915,1,101
clustering,random_node,0.05,0.0202274050691103,0.012168048128342246,-0.39841781461431486,2.7712747143714145,2.799767900651126,2,102
assortativity,random_node,0.05,-0.10066972972115146,-0.31951450173212426,-2.1738669483885973,2.4813161671001622,3.2988827548745943,2,102
avg_path,random_node,0.05,3.375084480600751,1.4553483652414134,-0.5687962946104798,0.13576366574503926,0.584774313474132,2,102
modularity,random_node,0.05,0.3881034081346105,0.6119264628224096,0.5767083547532605,0.4651659063749527,0.7409263437723373,2,102
clustering,random_node,0.1,0.0202274050691103,0.007783955521026557,-0.6151473388816728,1.2457867794590112,1.3893850972311668,2,102
assortativity,random_node,0.1,-0.10066972972115146,-0.15430243595167045,-0.5327537247328652,1.5356441011025759,1.6254320460935547,2,102
avg_path,random_node,0.1,3.375084480600751,2.59915888006902,-0.22989805887631015,0.2095084092350484,0.3110416226412405,2,102
modularity,random_node,0.1,0.3881034081346105,0.7854096797034609,1.0237097627374754,0.18957412917733923,1.0411148009597042,2,102
clustering,random_node,0.2,0.0202274050691103,0.0142170084221516,-0.29712657159198635,0.710144935694008,0.7697986939699589,2,102
assortativity,random_node,0.2,-0.10066972972115146,-0.1405041869010143,-0.39569055762484856,0.7063256908259382,0.8096091642973186,2,102
avg_path,random_node,0.2,3.375084480600751,4.86855363023642,0.4424981702596278,0.2744899800901296,0.520720059007715,2,102
modularity,random_node,0.2,0.3881034081346105,0.7874496413284455,1.0289659813792311,0.16325065631763516,1.0418357680670514,2,102
clustering,random_node,0.3,0.0202274050691103,0.01711800529246875,-0.15371452994036328,0.5105491824936553,0.5331872320861843,2,102
assortativity,random_node,0.3,-0.10066972972115146,-0.11928915799063697,-0.18495374297037076,0.44644094846777327,0.4832363888487238,2,102
avg_path,random_node,0.3,3.375084480600751,5.221562541458338,0.5470907541366691,0.2149243961197429,0.5877931518053484,2,102
modularity,random_node,0.3,0.3881034081346105,0.7310535352343166,0.8836542948534535,0.11844552503398198,0.8915572080430564,2,102
clustering,snowball,0.05,0.0202274050691103,0.09351536146969527,3.6230219906214467,2.825060897360948,4.594263533834823,2,102
assortativity,snowball,0.05,-0.10066972972115146,-0.42031045712886944,-3.175110861847262,1.319916135208611,3.4385327668941152,2,102
avg_path,snowball,0.05,3.375084480600751,3.1702991790605637,-0.06067558961609954,0.13192737406786476,0.14521142931499448,2,102
modularity,snowball,0.05,0.3881034081346105,0.48390435219835576,0.24684322583246107,0.19944000513429277,0.3173450705262997,2,102
clustering,snowball,0.1,0.0202274050691103,0.0635687691775203,2.1425991797343547,1.217090075764245,2.464150867443417,2,102
