metric,sampler,frac,theta,mean_sampled,bias_rel,var_rel,nd,graph_type,graph_id,graph_seed
clustering,random_node,0.1,0.03345219388371812,0.029918494791267278,-0.10563114256694975,1.0326932729076486,1.0380815643236856,SBM,0,4000
assortativity,random_node,0.1,0.025736630445322463,-0.031027659039384013,-2.2054978839368165,5.429341893605873,5.860202582992637,SBM,0,4000
avg_path,random_node,0.1,2.9643523153942426,4.928093101424782,0.66245166385282,0.43332095235139334,0.7915865427659113,SBM,0,4000
modularity,random_node,0.1,0.5006110472627847,0.7929261937484366,0.583915525173544,0.09291473071147181,0.5912617759688858,SBM,0,4000
clustering,random_node,0.2,0.03345219388371812,0.03296151008324697,-0.01466777139954835,0.49282725907577907,0.493045485534524,SBM,0,4000
assortativity,random_node,0.2,0.025736630445322463,0.0019708155995329314,-0.9233878346446113,3.1106467592827967,3.2448063662114306,SBM,0,4000
avg_path,random_node,0.2,2.9643523153942426,5.3948240707110395,0.8198994845503285,0.13999916040072707,0.8317661508373629,SBM,0,4000
modularity,random_node,0.2,0.5006110472627847,0.6596462022306916,0.3176814378268948,0.054415787504326914,0.3223081970249582,SBM,0,4000
clustering,random_node,0.3,0.03345219388371812,0.03348360305439022,0.0009388990115945721,0.23007195602685535,0.23007387179203387,SBM,0,4000
assortativity,random_node,0.3,0.025736630445322463,0.014702358188687752,-0.4287213727804562,1.9076274034157736,1.955209534996586,SBM,0,4000
avg_path,random_node,0.3,2.9643523153942426,4.308628990512062,0.4534805848334035,0.048006669115020224,0.45601456237752397,SBM,0,4000
modularity,random_node,0.3,0.5006110472627847,0.5511848646045638,0.10102397179273548,0.034029527377551744,0.10660136776945668,SBM,0,4000
clustering,snowball,0.05,0.03345219388371812,0.08400450261390975,1.5111354959382746,0.9333805083230609,1.776155866021344,SBM,0,4000
assortativity,snowball,0.05,0.025736630445322463,-0.5893586633731369,-23.898676108710944,2.9559246205925658,24.080785080883402,SBM,0,4000
avg_path,snowball,0.05,2.9643523153942426,3.2995418486905943,0.11307340847518824,0.11801688238264901,0.16344289593468656,SBM,0,4000
modularity,snowball,0.05,0.5006110472627847,0.5389913830582228,0.07666682415113997,0.09326713582397664,0.12073342764218171,SBM,0,4000
clustering,snowball,0.1,0.03345219388371812,0.07620637977931378,1.2780300154361166,0.5041402032112442,1.3738697408595602,SBM,0,4000
